date,low,average,high
2021-04-15T10:03:10.493160,71,86,99
2021-04-15T10:03:49.440808,72,90,99
2021-04-15T10:04:30.971176,74,94,99
2021-04-15T10:05:11.168292,72,79,99
2021-04-15T10:05:50.395078,72,78,82
2021-04-15T10:06:31.304357,72,78,90
2021-04-15T10:07:10.686152,72,78,99
2021-04-15T10:07:51.221687,72,78,90
2021-04-15T10:08:31.073501,72,77,90
2021-04-15T10:09:13.159990,71,71,78
2021-04-15T10:09:51.734474,71,83,99
2021-04-15T10:10:31.307279,71,90,99
2021-04-15T10:11:11.222311,71,78,99
2021-04-15T10:11:50.902521,71,81,99
2021-04-15T10:12:31.026394,71,79,99
2021-04-15T10:13:10.550257,71,75,80
2021-04-15T10:13:49.046674,71,73,99
2021-04-15T10:14:28.769736,71,73,99
2021-04-15T10:15:08.525481,71,71,79
2021-04-15T10:15:48.811782,70,73,99
2021-04-15T10:16:31.618962,70,90,99
2021-04-15T10:17:09.581317,70,90,99
2021-04-15T10:17:48.998896,70,75,90
2021-04-15T10:18:30.861189,70,72,90
2021-04-15T10:19:10.823491,70,72,98
2021-04-15T10:19:51.678293,70,75,90
2021-04-15T10:20:30.970611,70,82,98
2021-04-15T10:21:11.159398,72,92,98
2021-04-15T10:21:51.725281,70,79,98
2021-04-15T10:22:31.211920,71,91,99
2021-04-15T10:23:11.658353,70,80,90
2021-04-15T10:23:50.259765,74,94,99
2021-04-15T10:24:29.725882,74,94,99
2021-04-15T10:25:11.198899,70,81,90
2021-04-15T10:25:51.268733,70,89,99
2021-04-15T10:26:30.687729,70,89,90
2021-04-15T10:27:10.833953,70,85,89
2021-04-15T10:27:51.324968,72,90,99
2021-04-15T10:28:30.086315,72,83,99
2021-04-15T10:29:10.614171,72,88,99
2021-04-15T10:29:50.461335,72,78,80
2021-04-15T10:30:31.835406,72,82,90
2021-04-15T10:31:12.411836,72,82,99
2021-04-15T10:31:51.421546,75,90,106
2021-04-15T10:32:31.046886,75,78,80
2021-04-15T10:33:10.804672,70,80,99
2021-04-15T10:33:51.006091,70,80,99
2021-04-15T10:35:11.963902,79,99,174
2021-04-15T10:35:16.214388,79,99,174
2021-04-15T10:35:51.495052,82,102,174
2021-04-15T10:36:30.199251,79,99,101
2021-04-15T10:37:10.689936,70,82,172
2021-04-15T10:37:50.448536,76,96,172
